ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
lizard,goat,goldfish,tiger,rat,horse,dolphin,whale,eagle,"['stim4', 'stim2', 'stim7', 'stim6', 'stim5', 'stim3', 'stim1', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ant,hog,whale,cow,cat,dog,snail,sparrow,monkey,"['stim6', 'stim7', 'stim5', 'stim4', 'stim3', 'stim1', 'stim8', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bat,cat,horse,duck,turkey,snake,tiger,pigeon,snail,"['stim1', 'stim7', 'stim6', 'stim2', 'stim3', 'stim4', 'stim8', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
turkey,giraffe,snake,sheep,owl,snail,butterfly,cat,mouse,"['stim4', 'stim6', 'stim3', 'stim8', 'stim7', 'stim1', 'stim5', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bluebird,monkey,snake,dog,rat,cat,shark,spider,owl,"['stim8', 'stim4', 'stim5', 'stim3', 'stim7', 'stim1', 'stim2', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snake,cat,turkey,eagle,hog,lizard,bear,elephant,crocodile,"['stim5', 'stim8', 'stim7', 'stim4', 'stim1', 'stim6', 'stim2', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bluebird,butterfly,mouse,goat,sparrow,goldfish,crocodile,turkey,sheep,"['stim4', 'stim1', 'stim2', 'stim5', 'stim8', 'stim3', 'stim7', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
fox,goat,goldfish,giraffe,bluebird,dolphin,bear,tiger,pigeon,"['stim6', 'stim7', 'stim3', 'stim5', 'stim1', 'stim8', 'stim4', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
horse,owl,cat,turtle,dolphin,snail,rat,ladybug,pigeon,"['stim2', 'stim6', 'stim4', 'stim3', 'stim1', 'stim8', 'stim5', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cat,eagle,crocodile,frog,spider,bear,turtle,elephant,shark,"['stim5', 'stim3', 'stim2', 'stim6', 'stim7', 'stim4', 'stim1', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goat,turtle,cow,eagle,bear,ant,whale,hog,ladybug,"['stim7', 'stim2', 'stim4', 'stim6', 'stim1', 'stim5', 'stim8', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ant,spider,horse,goldfish,duck,giraffe,butterfly,rat,fox,"['stim6', 'stim1', 'stim7', 'stim3', 'stim4', 'stim8', 'stim2', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
horse,sheep,goldfish,ant,turkey,spider,duck,butterfly,hog,"['stim8', 'stim1', 'stim6', 'stim3', 'stim4', 'stim7', 'stim5', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
spider,ant,dog,mouse,duck,tiger,snail,turtle,giraffe,"['stim1', 'stim6', 'stim3', 'stim7', 'stim4', 'stim2', 'stim5', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ladybug,eagle,fox,duck,mouse,dolphin,shark,hog,cat,"['stim4', 'stim8', 'stim7', 'stim3', 'stim2', 'stim1', 'stim6', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
fox,whale,duck,dog,rat,eagle,monkey,crocodile,cow,"['stim3', 'stim8', 'stim6', 'stim4', 'stim1', 'stim7', 'stim5', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
crocodile,snake,spider,turtle,hog,fox,dog,horse,shark,"['stim4', 'stim1', 'stim3', 'stim5', 'stim6', 'stim7', 'stim8', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cat,mouse,ladybug,duck,crocodile,lizard,frog,goldfish,sparrow,"['stim1', 'stim5', 'stim4', 'stim2', 'stim3', 'stim8', 'stim6', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sheep,goldfish,elephant,duck,cow,bluebird,ant,butterfly,bat,"['stim4', 'stim2', 'stim3', 'stim8', 'stim6', 'stim5', 'stim7', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
tiger,turkey,bear,hog,rat,giraffe,horse,goldfish,monkey,"['stim2', 'stim5', 'stim8', 'stim6', 'stim3', 'stim4', 'stim1', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
dog,snail,horse,sheep,crocodile,snake,spider,duck,turkey,"['stim3', 'stim2', 'stim4', 'stim7', 'stim8', 'stim6', 'stim1', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bear,rat,hog,monkey,tiger,turkey,horse,giraffe,ladybug,"['stim3', 'stim7', 'stim6', 'stim4', 'stim2', 'stim1', 'stim5', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goldfish,turkey,turtle,whale,ladybug,mouse,ant,elephant,butterfly,"['stim3', 'stim2', 'stim7', 'stim5', 'stim6', 'stim8', 'stim4', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
horse,monkey,bat,mouse,eagle,whale,fox,tiger,cow,"['stim8', 'stim1', 'stim7', 'stim6', 'stim5', 'stim2', 'stim3', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bluebird,tiger,ant,pigeon,elephant,snake,ladybug,whale,shark,"['stim3', 'stim6', 'stim4', 'stim1', 'stim5', 'stim2', 'stim7', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
rat,bat,cat,ladybug,sheep,whale,horse,turtle,eagle,"['stim1', 'stim2', 'stim4', 'stim6', 'stim7', 'stim3', 'stim8', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
turtle,snail,duck,snake,elephant,ant,cow,cat,sparrow,"['stim3', 'stim1', 'stim4', 'stim5', 'stim7', 'stim6', 'stim2', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
giraffe,cat,frog,lizard,rat,whale,mouse,hog,sheep,"['stim1', 'stim7', 'stim8', 'stim4', 'stim6', 'stim5', 'stim2', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
owl,goat,snail,whale,goldfish,ladybug,sheep,mouse,sparrow,"['stim8', 'stim7', 'stim6', 'stim1', 'stim5', 'stim2', 'stim3', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ant,monkey,eagle,spider,goldfish,ladybug,pigeon,sparrow,snake,"['stim3', 'stim5', 'stim7', 'stim8', 'stim4', 'stim1', 'stim2', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
rat,elephant,pigeon,snail,giraffe,ant,butterfly,bear,snake,"['stim2', 'stim4', 'stim7', 'stim1', 'stim5', 'stim3', 'stim8', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bear,shark,dog,crocodile,cow,turtle,elephant,eagle,duck,"['stim4', 'stim2', 'stim3', 'stim6', 'stim1', 'stim8', 'stim5', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
